[32685:259:0125/124752.501106:WARNING:chrome_main_delegate.cc(672)] This is Chrome version 131.0.6778.265 (not a warning)
[32685:259:0125/124752.829349:INFO:chrome_browser_cloud_management_controller.cc(196)] No machine level policy manager exists.
[32691:259:0125/124752.954637:WARNING:viz_main_impl.cc(85)] VizNullHypothesis is disabled (not a warning)
[32691:259:0125/124754.992446:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32691:259:0125/124754.994108:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32708:130563:0125/124755.490028:INFO:peer_connection_dependency_factory.cc(744)] Running WebRTC with a combined Network and Worker thread.
[32691:259:0125/124755.567651:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32691:259:0125/124755.568252:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32724:259:0125/124755.641833:ERROR:system_services.cc(31)] SetApplicationIsDaemon: Error Domain=NSOSStatusErrorDomain Code=-50 "paramErr: error in user parameter list" (-50)
[32685:259:0125/124756.214965:WARNING:capture_device_ranking.h(255)] Can't initialize the value of media.audio_input.user_preference_ranking because media.default_audio_capture_device isn't registered or is empty
[32685:259:0125/124756.214991:WARNING:capture_device_ranking.h(255)] Can't initialize the value of media.video_input.user_preference_ranking because media.default_video_capture_Device isn't registered or is empty
[32691:259:0125/124756.770614:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32691:259:0125/124756.770878:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32708:130563:0125/124757.058738:INFO:peer_connection_dependency_factory.cc(744)] Running WebRTC with a combined Network and Worker thread.
[32691:259:0125/124757.086276:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32691:259:0125/124757.086675:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32685:259:0125/124757.216306:INFO:CONSOLE(2)] "Error", source: https://client.protechts.net/PXdOjV695v/main.min.js (2)
[32685:259:0125/124757.216887:WARNING:capture_device_ranking.h(255)] Can't initialize the value of media.audio_input.user_preference_ranking because media.default_audio_capture_device isn't registered or is empty
[32685:259:0125/124757.216904:WARNING:capture_device_ranking.h(255)] Can't initialize the value of media.video_input.user_preference_ranking because media.default_video_capture_Device isn't registered or is empty
[32691:259:0125/124757.405245:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32691:259:0125/124757.405457:ERROR:gles2_command_buffer_stub.cc(298)] ContextResult::kFatalFailure: Failed to create context.
[32685:259:0125/124757.420363:INFO:CONSOLE(54)] "Refused to create a TrustedTypePolicy named 'goog#html' because it violates the following Content Security Policy directive: "trusted-types 'allow-duplicates' default jSecure highcharts dompurify".", source: https://www.googletagmanager.com/gtag/js (54)
[32685:259:0125/124757.478416:INFO:CONSOLE(1)] "Error: ns!", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514152:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514234:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514283:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514318:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514334:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514344:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514367:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514375:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514384:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514392:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514415:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514434:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514448:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514460:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514473:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514485:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.514510:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[32685:259:0125/124757.515247:INFO:CONSOLE(1)] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
